Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.1548,0.1540,0.1588,0.2803,0.1508,0.3865
2,0.0474,0.0493,0.0484,0.1801,0.0474,0.2123
3,0.0130,0.0076,0.0134,0.0902,0.0071,0.0700
4,0.0075,0.0078,0.0076,0.0648,0.0073,0.0731
5,0.0054,0.0051,0.0055,0.0553,0.0049,0.0584
6,0.0042,0.0017,0.0042,0.0450,0.0016,0.0341
7,0.0034,0.0012,0.0035,0.0404,0.0012,0.0287
8,0.0032,0.0008,0.0033,0.0382,0.0008,0.0233
9,0.0033,0.0006,0.0033,0.0381,0.0006,0.0210
10,0.0029,0.0005,0.0030,0.0360,0.0006,0.0199
11,0.0031,0.0003,0.0030,0.0364,0.0003,0.0160
12,0.0033,0.0003,0.0029,0.0357,0.0003,0.0161
13,0.0028,0.0004,0.0029,0.0348,0.0004,0.0173
14,0.0029,0.0003,0.0029,0.0356,0.0004,0.0166
15,0.0029,0.0003,0.0029,0.0351,0.0003,0.0160
16,0.0030,0.0002,0.0031,0.0357,0.0002,0.0136
17,0.0028,0.0003,0.0028,0.0346,0.0004,0.0159
18,0.0029,0.0002,0.0029,0.0346,0.0002,0.0133
19,0.0029,0.0002,0.0029,0.0355,0.0002,0.0119
20,0.0027,0.0003,0.0027,0.0335,0.0003,0.0143
21,0.0024,0.0002,0.0024,0.0319,0.0003,0.0140
22,0.0026,0.0002,0.0026,0.0332,0.0002,0.0129
23,0.0025,0.0002,0.0026,0.0327,0.0002,0.0118
24,0.0025,0.0001,0.0026,0.0316,0.0002,0.0107
25,0.0027,0.0002,0.0027,0.0331,0.0002,0.0112
26,0.0024,0.0002,0.0024,0.0317,0.0002,0.0109
27,0.0029,0.0002,0.0026,0.0325,0.0003,0.0133
28,0.0027,0.0002,0.0026,0.0326,0.0002,0.0116
29,0.0025,0.0002,0.0025,0.0321,0.0002,0.0121
30,0.0026,0.0002,0.0027,0.0330,0.0002,0.0111
31,0.0024,0.0001,0.0024,0.0312,0.0002,0.0104
32,0.0024,0.0002,0.0024,0.0308,0.0002,0.0115
33,0.0023,0.0002,0.0024,0.0308,0.0002,0.0108
34,0.0023,0.0002,0.0024,0.0314,0.0002,0.0114
35,0.0023,0.0001,0.0023,0.0305,0.0002,0.0104
36,0.0022,0.0001,0.0022,0.0303,0.0001,0.0100
37,0.0023,0.0001,0.0023,0.0302,0.0001,0.0100
38,0.0022,0.0001,0.0022,0.0302,0.0001,0.0100
39,0.0022,0.0002,0.0022,0.0304,0.0002,0.0112
40,0.0023,0.0002,0.0023,0.0314,0.0002,0.0107
41,0.0022,0.0001,0.0022,0.0304,0.0001,0.0099
42,0.0024,0.0001,0.0024,0.0311,0.0001,0.0098
43,0.0029,0.0001,0.0023,0.0304,0.0001,0.0097
44,0.0024,0.0001,0.0024,0.0312,0.0002,0.0101
45,0.0024,0.0001,0.0024,0.0313,0.0001,0.0098
46,0.0023,0.0001,0.0023,0.0297,0.0001,0.0096
47,0.0023,0.0001,0.0023,0.0305,0.0001,0.0095
48,0.0021,0.0001,0.0022,0.0301,0.0001,0.0095
49,0.0022,0.0001,0.0023,0.0306,0.0001,0.0095
50,0.0022,0.0001,0.0022,0.0304,0.0001,0.0094
51,0.0021,0.0001,0.0021,0.0291,0.0001,0.0097
52,0.0022,0.0001,0.0022,0.0303,0.0001,0.0094
53,0.0023,0.0001,0.0023,0.0302,0.0001,0.0094
54,0.0023,0.0001,0.0023,0.0302,0.0001,0.0094
55,0.0022,0.0001,0.0022,0.0303,0.0001,0.0094
56,0.0024,0.0001,0.0023,0.0310,0.0001,0.0093
57,0.0021,0.0001,0.0021,0.0292,0.0001,0.0095
58,0.0021,0.0001,0.0021,0.0289,0.0001,0.0093
59,0.0023,0.0001,0.0023,0.0307,0.0001,0.0094
