Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.0374,0.0465,0.0375,0.1419,0.0463,0.2142
2,0.0048,0.0086,0.0048,0.0553,0.0087,0.0911
3,0.0026,0.0043,0.0026,0.0415,0.0044,0.0640
4,0.0022,0.0032,0.0022,0.0376,0.0034,0.0556
5,0.0019,0.0016,0.0019,0.0341,0.0018,0.0380
6,0.0017,0.0005,0.0017,0.0324,0.0006,0.0183
7,0.0017,0.0005,0.0017,0.0308,0.0006,0.0180
8,0.0014,0.0013,0.0014,0.0279,0.0015,0.0337
9,0.0012,0.0014,0.0012,0.0265,0.0017,0.0352
10,0.0012,0.0007,0.0012,0.0271,0.0009,0.0220
11,0.0012,0.0012,0.0012,0.0257,0.0014,0.0315
12,0.0011,0.0008,0.0011,0.0253,0.0010,0.0242
13,0.0011,0.0013,0.0011,0.0254,0.0015,0.0331
14,0.0011,0.0009,0.0011,0.0247,0.0011,0.0268
15,0.0010,0.0008,0.0010,0.0240,0.0010,0.0249
16,0.0010,0.0011,0.0010,0.0242,0.0014,0.0301
17,0.0010,0.0016,0.0010,0.0239,0.0019,0.0375
18,0.0011,0.0011,0.0011,0.0252,0.0013,0.0297
19,0.0009,0.0024,0.0009,0.0231,0.0028,0.0479
20,0.0010,0.0014,0.0010,0.0235,0.0016,0.0346
21,0.0010,0.0016,0.0010,0.0232,0.0019,0.0378
