Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE,Val R2,Val MAPE
1,0.1446,0.0578,0.1486,0.3269,0.0620,0.2344,-3.1757,167.66
2,0.0329,0.0209,0.0333,0.1489,0.0230,0.1335,-0.5468,103.27
3,0.0106,0.0052,0.0107,0.0850,0.0055,0.0654,0.6289,48.30
4,0.0034,0.0048,0.0034,0.0466,0.0043,0.0541,0.7078,28.54
5,0.0027,0.0037,0.0028,0.0427,0.0036,0.0499,0.7599,31.68
6,0.0027,0.0034,0.0026,0.0401,0.0033,0.0472,0.7808,28.94
7,0.0027,0.0032,0.0026,0.0405,0.0030,0.0447,0.7979,25.98
8,0.0029,0.0031,0.0027,0.0406,0.0029,0.0435,0.8063,24.54
9,0.0023,0.0025,0.0024,0.0379,0.0024,0.0395,0.8366,22.83
10,0.0023,0.0027,0.0023,0.0370,0.0025,0.0397,0.8310,20.99
11,0.0023,0.0030,0.0023,0.0373,0.0028,0.0415,0.8112,19.87
12,0.0022,0.0029,0.0021,0.0352,0.0027,0.0404,0.8188,19.16
13,0.0022,0.0026,0.0022,0.0360,0.0024,0.0382,0.8368,18.76
14,0.0020,0.0024,0.0021,0.0348,0.0023,0.0366,0.8472,17.89
15,0.0021,0.0022,0.0022,0.0358,0.0021,0.0350,0.8583,17.61
16,0.0020,0.0022,0.0021,0.0343,0.0021,0.0346,0.8594,16.97
17,0.0021,0.0023,0.0020,0.0337,0.0022,0.0350,0.8544,16.44
18,0.0019,0.0020,0.0019,0.0325,0.0019,0.0328,0.8691,15.88
19,0.0019,0.0019,0.0019,0.0330,0.0019,0.0323,0.8723,15.77
20,0.0021,0.0019,0.0021,0.0337,0.0019,0.0314,0.8750,14.94
21,0.0019,0.0023,0.0020,0.0333,0.0022,0.0345,0.8522,15.15
22,0.0018,0.0020,0.0019,0.0329,0.0019,0.0322,0.8703,15.07
23,0.0018,0.0021,0.0019,0.0319,0.0020,0.0331,0.8627,14.85
24,0.0019,0.0020,0.0019,0.0329,0.0019,0.0320,0.8704,14.78
25,0.0019,0.0021,0.0019,0.0322,0.0021,0.0331,0.8607,14.59
26,0.0018,0.0020,0.0019,0.0319,0.0020,0.0326,0.8652,14.62
27,0.0018,0.0019,0.0019,0.0322,0.0019,0.0317,0.8713,14.42
28,0.0018,0.0023,0.0018,0.0312,0.0023,0.0347,0.8484,14.67
29,0.0018,0.0021,0.0018,0.0316,0.0021,0.0330,0.8602,14.30
30,0.0018,0.0019,0.0019,0.0323,0.0019,0.0311,0.8743,14.07
31,0.0018,0.0020,0.0018,0.0313,0.0020,0.0321,0.8671,14.23
32,0.0018,0.0018,0.0018,0.0314,0.0018,0.0306,0.8768,13.90
33,0.0017,0.0020,0.0017,0.0314,0.0020,0.0320,0.8671,13.99
34,0.0016,0.0020,0.0017,0.0304,0.0020,0.0324,0.8647,14.10
35,0.0018,0.0018,0.0018,0.0313,0.0018,0.0303,0.8786,13.74
36,0.0018,0.0020,0.0018,0.0311,0.0020,0.0319,0.8672,13.95
37,0.0019,0.0018,0.0018,0.0317,0.0018,0.0300,0.8806,13.73
38,0.0019,0.0020,0.0018,0.0313,0.0019,0.0315,0.8697,13.82
39,0.0017,0.0018,0.0017,0.0311,0.0018,0.0302,0.8785,13.62
40,0.0017,0.0018,0.0018,0.0313,0.0018,0.0299,0.8796,13.46
41,0.0017,0.0019,0.0018,0.0308,0.0019,0.0310,0.8728,13.62
42,0.0017,0.0018,0.0017,0.0301,0.0018,0.0305,0.8761,13.51
43,0.0018,0.0018,0.0018,0.0318,0.0018,0.0301,0.8782,13.42
44,0.0017,0.0019,0.0017,0.0303,0.0019,0.0308,0.8737,13.50
45,0.0017,0.0018,0.0016,0.0299,0.0018,0.0303,0.8772,13.46
46,0.0018,0.0018,0.0018,0.0312,0.0018,0.0299,0.8799,13.40
47,0.0016,0.0019,0.0016,0.0304,0.0019,0.0307,0.8739,13.47
