Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.1114,0.1545,0.1129,0.2700,0.1513,0.3872
2,0.0372,0.0207,0.0381,0.1630,0.0195,0.1328
3,0.0089,0.0035,0.0091,0.0677,0.0033,0.0464
4,0.0056,0.0057,0.0057,0.0518,0.0053,0.0601
5,0.0038,0.0026,0.0039,0.0436,0.0025,0.0412
6,0.0036,0.0024,0.0035,0.0402,0.0022,0.0381
7,0.0036,0.0010,0.0037,0.0403,0.0010,0.0273
8,0.0033,0.0016,0.0033,0.0363,0.0015,0.0316
9,0.0031,0.0009,0.0032,0.0369,0.0009,0.0253
10,0.0029,0.0007,0.0030,0.0346,0.0007,0.0228
11,0.0029,0.0007,0.0029,0.0334,0.0007,0.0222
12,0.0026,0.0005,0.0026,0.0323,0.0005,0.0200
13,0.0025,0.0005,0.0025,0.0311,0.0005,0.0199
14,0.0023,0.0004,0.0024,0.0306,0.0004,0.0175
15,0.0026,0.0006,0.0026,0.0314,0.0006,0.0205
16,0.0027,0.0005,0.0026,0.0313,0.0004,0.0184
17,0.0024,0.0004,0.0025,0.0312,0.0004,0.0177
18,0.0032,0.0004,0.0026,0.0313,0.0004,0.0175
19,0.0023,0.0004,0.0023,0.0300,0.0004,0.0174
20,0.0022,0.0004,0.0023,0.0294,0.0004,0.0172
21,0.0023,0.0003,0.0023,0.0292,0.0003,0.0160
22,0.0022,0.0003,0.0022,0.0291,0.0003,0.0160
23,0.0023,0.0004,0.0023,0.0295,0.0004,0.0163
24,0.0021,0.0003,0.0021,0.0282,0.0003,0.0150
25,0.0022,0.0003,0.0021,0.0285,0.0003,0.0160
26,0.0023,0.0003,0.0023,0.0302,0.0003,0.0144
27,0.0022,0.0003,0.0022,0.0286,0.0003,0.0146
28,0.0022,0.0003,0.0022,0.0293,0.0003,0.0145
29,0.0021,0.0002,0.0021,0.0282,0.0002,0.0133
30,0.0022,0.0003,0.0022,0.0294,0.0003,0.0149
31,0.0021,0.0003,0.0021,0.0280,0.0003,0.0147
32,0.0021,0.0003,0.0021,0.0277,0.0003,0.0145
33,0.0019,0.0003,0.0020,0.0276,0.0003,0.0146
34,0.0021,0.0002,0.0021,0.0280,0.0002,0.0137
35,0.0025,0.0002,0.0020,0.0272,0.0002,0.0129
36,0.0021,0.0003,0.0022,0.0282,0.0003,0.0144
37,0.0022,0.0002,0.0022,0.0281,0.0002,0.0132
38,0.0020,0.0003,0.0020,0.0275,0.0003,0.0140
39,0.0020,0.0002,0.0020,0.0281,0.0002,0.0120
40,0.0020,0.0002,0.0020,0.0275,0.0002,0.0130
41,0.0019,0.0002,0.0019,0.0264,0.0002,0.0130
42,0.0020,0.0002,0.0021,0.0277,0.0002,0.0126
43,0.0022,0.0002,0.0020,0.0277,0.0002,0.0123
44,0.0019,0.0002,0.0019,0.0276,0.0002,0.0124
45,0.0020,0.0002,0.0020,0.0273,0.0002,0.0121
46,0.0018,0.0002,0.0018,0.0272,0.0002,0.0131
47,0.0020,0.0002,0.0020,0.0272,0.0002,0.0127
48,0.0019,0.0002,0.0019,0.0270,0.0002,0.0126
49,0.0019,0.0002,0.0019,0.0265,0.0002,0.0124
