Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.0793,0.1175,0.0814,0.2274,0.1158,0.3397
2,0.0154,0.0609,0.0157,0.1042,0.0599,0.2440
3,0.0092,0.0335,0.0093,0.0764,0.0330,0.1809
4,0.0052,0.0152,0.0053,0.0559,0.0151,0.1214
5,0.0037,0.0098,0.0037,0.0493,0.0097,0.0969
6,0.0032,0.0074,0.0031,0.0450,0.0074,0.0843
7,0.0027,0.0052,0.0027,0.0418,0.0052,0.0703
8,0.0026,0.0036,0.0025,0.0400,0.0036,0.0574
9,0.0022,0.0020,0.0023,0.0376,0.0021,0.0423
10,0.0022,0.0016,0.0021,0.0354,0.0016,0.0368
11,0.0020,0.0010,0.0020,0.0338,0.0010,0.0276
12,0.0019,0.0010,0.0019,0.0339,0.0010,0.0280
13,0.0018,0.0009,0.0018,0.0324,0.0009,0.0253
14,0.0017,0.0008,0.0017,0.0316,0.0008,0.0238
15,0.0016,0.0004,0.0016,0.0307,0.0005,0.0157
16,0.0016,0.0007,0.0016,0.0302,0.0008,0.0223
17,0.0016,0.0004,0.0016,0.0303,0.0005,0.0157
18,0.0017,0.0004,0.0016,0.0296,0.0004,0.0140
19,0.0015,0.0006,0.0015,0.0295,0.0007,0.0199
20,0.0015,0.0005,0.0016,0.0298,0.0006,0.0177
21,0.0015,0.0006,0.0015,0.0288,0.0007,0.0189
22,0.0015,0.0007,0.0015,0.0293,0.0008,0.0222
23,0.0015,0.0004,0.0015,0.0292,0.0004,0.0144
24,0.0016,0.0006,0.0016,0.0296,0.0007,0.0193
25,0.0014,0.0005,0.0014,0.0277,0.0006,0.0169
26,0.0014,0.0005,0.0014,0.0283,0.0006,0.0168
27,0.0014,0.0008,0.0014,0.0283,0.0008,0.0222
28,0.0015,0.0008,0.0015,0.0289,0.0009,0.0239
29,0.0014,0.0008,0.0013,0.0274,0.0009,0.0231
30,0.0014,0.0008,0.0014,0.0280,0.0009,0.0241
31,0.0014,0.0007,0.0014,0.0278,0.0008,0.0217
32,0.0014,0.0007,0.0014,0.0285,0.0008,0.0210
33,0.0016,0.0008,0.0015,0.0283,0.0008,0.0223
