Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE
1,0.0898,0.1281,0.0924,0.2393,0.1301,0.3602
2,0.0155,0.0424,0.0153,0.1041,0.0423,0.2050
3,0.0074,0.0246,0.0075,0.0704,0.0249,0.1568
4,0.0045,0.0154,0.0046,0.0540,0.0158,0.1246
5,0.0037,0.0126,0.0037,0.0490,0.0131,0.1131
6,0.0032,0.0088,0.0032,0.0459,0.0093,0.0947
7,0.0029,0.0058,0.0029,0.0430,0.0061,0.0764
8,0.0026,0.0023,0.0026,0.0406,0.0025,0.0470
9,0.0023,0.0009,0.0023,0.0376,0.0011,0.0285
10,0.0020,0.0005,0.0021,0.0355,0.0006,0.0183
11,0.0020,0.0003,0.0020,0.0347,0.0004,0.0134
12,0.0019,0.0003,0.0019,0.0328,0.0004,0.0137
13,0.0019,0.0005,0.0019,0.0332,0.0007,0.0190
14,0.0018,0.0003,0.0018,0.0323,0.0004,0.0140
15,0.0017,0.0004,0.0018,0.0322,0.0004,0.0165
16,0.0018,0.0005,0.0018,0.0321,0.0005,0.0200
17,0.0015,0.0003,0.0015,0.0296,0.0004,0.0140
18,0.0017,0.0003,0.0017,0.0312,0.0005,0.0146
19,0.0016,0.0003,0.0016,0.0306,0.0004,0.0149
20,0.0017,0.0003,0.0016,0.0306,0.0005,0.0147
21,0.0016,0.0003,0.0015,0.0297,0.0004,0.0142
