Epoch,Train Loss,Val Loss,Train MSE,Train MAE,Val MSE,Val MAE,Val R2,Val MAPE
1,0.2098,0.0308,0.2140,0.4020,0.0337,0.1627,-1.2667,125.47
2,0.0451,0.0349,0.0458,0.1782,0.0377,0.1792,-1.5405,131.76
3,0.0183,0.0182,0.0187,0.1152,0.0195,0.1300,-0.3154,94.57
4,0.0046,0.0035,0.0046,0.0539,0.0034,0.0476,0.7736,29.78
5,0.0031,0.0029,0.0031,0.0443,0.0030,0.0456,0.7962,32.01
6,0.0030,0.0027,0.0030,0.0430,0.0028,0.0439,0.8097,31.47
7,0.0026,0.0024,0.0027,0.0404,0.0025,0.0405,0.8327,27.12
8,0.0024,0.0023,0.0024,0.0381,0.0023,0.0388,0.8430,25.21
9,0.0024,0.0022,0.0024,0.0378,0.0022,0.0373,0.8514,23.46
10,0.0023,0.0022,0.0022,0.0363,0.0022,0.0364,0.8532,20.75
11,0.0025,0.0021,0.0025,0.0386,0.0021,0.0354,0.8593,20.36
12,0.0023,0.0020,0.0023,0.0368,0.0020,0.0341,0.8667,19.55
13,0.0021,0.0019,0.0021,0.0355,0.0019,0.0333,0.8718,19.46
14,0.0021,0.0019,0.0021,0.0343,0.0019,0.0325,0.8751,18.57
15,0.0021,0.0019,0.0021,0.0348,0.0019,0.0328,0.8718,17.67
16,0.0021,0.0020,0.0020,0.0344,0.0019,0.0328,0.8703,16.95
17,0.0021,0.0019,0.0021,0.0347,0.0018,0.0318,0.8758,16.65
18,0.0023,0.0018,0.0022,0.0350,0.0018,0.0314,0.8763,15.98
19,0.0020,0.0022,0.0020,0.0339,0.0021,0.0337,0.8561,15.24
20,0.0020,0.0019,0.0021,0.0339,0.0019,0.0316,0.8713,14.86
21,0.0020,0.0016,0.0020,0.0332,0.0016,0.0286,0.8906,15.05
22,0.0019,0.0018,0.0019,0.0323,0.0018,0.0302,0.8774,14.10
23,0.0019,0.0018,0.0019,0.0324,0.0018,0.0297,0.8809,14.09
24,0.0019,0.0017,0.0020,0.0329,0.0018,0.0296,0.8820,14.14
25,0.0019,0.0018,0.0019,0.0326,0.0018,0.0295,0.8813,13.95
26,0.0020,0.0018,0.0020,0.0327,0.0018,0.0299,0.8778,13.73
27,0.0020,0.0017,0.0020,0.0333,0.0017,0.0286,0.8862,13.62
28,0.0018,0.0018,0.0018,0.0316,0.0018,0.0296,0.8787,13.42
29,0.0019,0.0017,0.0019,0.0319,0.0017,0.0289,0.8834,13.47
30,0.0019,0.0022,0.0019,0.0321,0.0021,0.0324,0.8559,13.40
31,0.0019,0.0016,0.0019,0.0317,0.0016,0.0273,0.8912,12.94
32,0.0017,0.0017,0.0017,0.0306,0.0017,0.0287,0.8824,12.93
33,0.0017,0.0018,0.0018,0.0309,0.0018,0.0294,0.8768,12.92
34,0.0019,0.0017,0.0019,0.0319,0.0017,0.0284,0.8839,12.84
35,0.0019,0.0016,0.0019,0.0318,0.0017,0.0278,0.8874,12.76
36,0.0019,0.0018,0.0018,0.0315,0.0018,0.0294,0.8763,12.83
37,0.0020,0.0017,0.0019,0.0320,0.0017,0.0283,0.8840,12.79
38,0.0018,0.0015,0.0018,0.0310,0.0016,0.0267,0.8939,12.68
39,0.0019,0.0017,0.0018,0.0311,0.0017,0.0283,0.8837,12.65
40,0.0018,0.0016,0.0018,0.0312,0.0016,0.0271,0.8903,12.35
41,0.0018,0.0018,0.0018,0.0315,0.0018,0.0290,0.8777,12.56
42,0.0019,0.0017,0.0019,0.0314,0.0017,0.0280,0.8846,12.42
43,0.0018,0.0017,0.0018,0.0310,0.0018,0.0284,0.8820,12.48
44,0.0019,0.0016,0.0018,0.0310,0.0017,0.0275,0.8876,12.40
45,0.0019,0.0017,0.0019,0.0324,0.0018,0.0285,0.8808,12.41
46,0.0016,0.0016,0.0016,0.0305,0.0016,0.0270,0.8901,12.24
47,0.0019,0.0017,0.0019,0.0319,0.0017,0.0278,0.8850,12.28
48,0.0017,0.0017,0.0018,0.0308,0.0017,0.0280,0.8839,12.31
